Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193702,2.87,0.09
193703,3.14,-0.18
193704,2.60,-0.75
193705,4.75,1.36
193706,4.48,0.74
193707,2.61,-1.18
193708,2.91,-0.60
193709,3.69,0.00
193710,6.00,2.30
193711,4.46,0.57
193712,2.47,-1.06
193801,3.58,0.28
193802,2.73,-0.05
193803,2.45,-0.87
193804,2.82,-0.53
193805,3.93,0.54
193806,4.13,0.39
193807,5.95,2.16
193808,3.91,0.40
193809,5.45,1.76
193810,2.65,-1.05
193811,2.71,-1.18
193812,4.40,0.87
193901,2.04,-1.26
193902,3.13,0.35
193903,3.15,-0.17
193904,3.95,0.60
193905,2.04,-1.35
193906,3.00,-0.74
193907,3.32,-0.47
193908,3.05,-0.46
193909,3.77,0.08
193910,5.02,1.32
193911,0.80,-3.09
193912,3.80,0.27
194001,1.63,-1.67
194002,1.94,-0.84
194003,3.95,0.63
194004,5.83,2.48
194005,3.12,-0.27
194006,4.67,0.93
194007,2.86,-0.93
194008,2.01,-1.50
194009,4.94,1.25
194010,1.27,-2.43
194011,6.00,2.11
194012,3.32,-0.21
194101,2.12,-1.18
194102,1.68,-1.10
194103,3.07,-0.25
194104,1.01,-2.34
194105,2.45,-0.94
194106,2.31,-1.43
194107,4.02,0.23
194108,3.86,0.35
194109,2.21,-1.48
194110,3.95,0.25
194111,3.27,-0.62
194112,2.86,-0.67
194201,2.52,-0.78
194202,3.09,0.31
194203,5.48,2.16
194204,2.55,-0.80
194205,2.31,-1.08
194206,6.12,2.38
194207,2.82,-0.97
194208,2.80,-0.71
194209,3.78,0.09
194210,2.41,-1.29
194211,3.49,-0.40
194212,3.93,0.40
194301,1.35,-1.95
194302,2.61,-0.17
194303,3.10,-0.22
194304,3.09,-0.26
194305,3.79,0.40
194306,5.00,1.26
194307,3.72,-0.07
194308,4.66,1.15
194309,2.45,-1.24
194310,6.53,2.83
194311,6.06,2.17
194312,1.17,-2.36
194401,1.15,-2.15
194402,2.85,0.07
194403,3.39,0.07
194404,2.37,-0.98
194405,1.26,-2.13
194406,4.40,0.66
194407,3.33,-0.46
194408,1.98,-1.53
194409,5.85,2.16
194410,4.53,0.83
194411,4.14,0.25
194412,3.28,-0.25
194501,4.39,1.09
194502,2.78,0.00
194503,2.19,-1.13
194504,4.79,1.44
194505,6.09,2.70
194506,3.63,-0.11
194507,4.45,0.66
194508,1.93,-1.58
194509,4.61,0.92
194510,4.14,0.44
194511,4.14,0.25
194512,3.27,-0.26
